Scheme Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
SBI Contra Fund - Direct Plan - GrowthContra Fund,5,13460.88,1.78%,3.88%,13.26%,21.56%,22.87%,26.43%,22.48%,40.29%,20.63%,19.36%
SBI Contra Fund - Regular Plan - GrowthContra Fund,5,13460.88,1.76%,3.80%,12.99%,20.98%,22.08%,25.29%,21.47%,39.21%,19.79%,18.56%
HDFC Focused 30 Fund - Direct Plan - GrowthFocused Fund,5,6166.15,1.71%,3.20%,10.46%,17.42%,17.32%,22.29%,23.44%,34.16%,15.81%,18.40%
HDFC Focused 30 Fund - GrowthFocused Fund,5,6166.15,1.69%,3.09%,10.11%,16.64%,16.22%,20.65%,21.78%,32.47%,14.52%,17.22%
ICICI Prudential Bluechip Fund - GrowthLarge Cap Fund,5,40285.71,1.65%,2.12%,9.05%,15.19%,13.37%,16.39%,11.47%,23.98%,12.94%,15.84%
Nippon India Multicap Fund - Direct Plan - GrowthMulti Cap Fund,5,20192.22,1.62%,6.07%,17.28%,28.79%,29.16%,30.28%,24.07%,39.21%,17.96%,19.62%
Nippon India Multicap Fund - GrowthMulti Cap Fund,5,20192.22,1.60%,6.01%,17.07%,28.34%,28.53%,29.32%,23.18%,38.25%,17.15%,18.75%
Bandhan Tax Advantage (ELSS) Fund - Direct Plan - GrowthELSS,5,5073.13,1.53%,3.55%,11.68%,21.18%,20.06%,22.44%,16.03%,33.27%,16.83%,20.60%
Bandhan Tax Advantage (ELSS) Fund - Regular Plan - GrowthELSS,5,5073.13,1.51%,3.45%,11.37%,20.51%,19.13%,21.03%,14.67%,31.75%,15.48%,19.20%
Bandhan Sterling Value Fund - Direct Plan - GrowthValue Fund,5,6649.65,1.48%,3.75%,12.39%,22.07%,22.42%,24.20%,18.15%,39.23%,16.76%,20.81%
ICICI Prudential Value Discovery Fund - GrowthValue Fund,5,32659.44,1.39%,2.45%,11.47%,16.73%,17.31%,23.79%,18.71%,30.87%,16.05%,20.43%
